Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques;station_opening_hours
18114;Véron - Lepic;23;48.885261233953, 2.3345598578453;
13515;Auguste Blanqui - Glacière;60;48.831151602964, 2.343822196126;
10037;Quai de Valmy;26;48.88126951579429, 2.368186041712761;
16009;Saint-Didier - Raymond Poincaré;17;48.86642312020962, 2.285863497192411;
21307;Victor Cresson - Telles de la Poterie;31;48.822698842979, 2.2686498274964;
11109;Pierre Levée - Fontaine Timbaud;23;48.86632723374305, 2.3711163550615306;
42003;Place de l'Insurrection d'Août 1944;30;48.81477852751594, 2.398074567317963;
22206;Louis Pasteur - Albert Petit;31;48.796261, 2.317289;
15022;Emile Zola - Fondary;42;48.847051143113745, 2.2953405976295476;
23004;Paul Vaillant-Couturier - Victor Hugo;36;48.89819702263572, 2.293848017974069;
15011;Cambronne - Villa Croix Nivert;62;48.845847561366, 2.3017574474216;
51002;Placette Grégoire Collas;25;48.94342014002797, 2.2487476095557213;
15311;Quai du Président Roosevelt - Pont Aval;30;48.834388367639, 2.2656820714474;
15006;Cherche-Midi - Hôpital Necker;38;48.84461063309956, 2.317914068698883;
14031;Didot - Place de Moro-Giafferi;22;48.8337, 2.3215;
33012;Landy - Heurtault;30;48.915096534520316, 2.375951372087002;
18202;Diane Arbus;38;48.898800717199, 2.3524022474885;
19002;Centquatre;42;48.889333538455, 2.3707854375243;
14137;Maurice d'Ocagne - General Maudhuy;30;48.82414282524159, 2.3158789426088333;
10006;Petites Ecuries - Faubourg Saint-Denis;28;48.87287120589831, 2.3542150855064397;
2021;Cléry - Montmartre;58;48.867458, 2.3445211;
3012;Square Emile - Chautemps;25;48.867433724231, 2.3536357283592;
7002;Vaneau - Sèvres;35;48.848563233059, 2.3204218259346;
30002;Jean Rostand - Paul Vaillant Couturier;40;48.908168131015, 2.4530601033354;
15202;Bracion - Périphérique;30;48.826103771275, 2.3004549373748;
14108;Le Brix et Mesmin - Jourdan;21;48.82234096593411, 2.327861653302471;
17044;Porte de Saint-Ouen - Bessières;42;48.89792240854517, 2.32851451022192;
17025;Chazelles - Courcelles;35;48.879406604954, 2.3034455627202988;
13118;Regnault - Patay;63;48.82435782216384, 2.377065159380436;
18111;Félix Ziem - Armand Gauthier;25;48.88949630486821, 2.333393658804396;
10161;Gare de l'Est - Faubourg-Saint-Martin;32;48.875642647477, 2.3594588041306;
12031;Gabriel Lamé;36;48.8351212784276, 2.385534569621086;
19015;Thionville - Ourcq;24;48.88917613743794, 2.3833653330802917;
26003;Argenteuil - Voltaire;16;48.918648659556, 2.281411215663;
19101;Square Simon Bolivar;24;48.875089888322, 2.3826304078102;
15106;Grenelle - Violet;35;48.84993035512154, 2.294612042605877;
42014;Place Marcel Cachin;32;48.81411442356866, 2.39090770483017;
15021;Joseph Liouville - Croix Nivert;64;48.844835471244416, 2.297508493065834;
19029;Seine - Flandre;19;48.886785741479684, 2.3746193200349808;
11042;Grand Prieuré - Crussol;49;48.864660627935, 2.3692265531829;
32016;Place de la Porte de Paris;40;48.93009363207303, 2.3564037680625916;
35009;Jean Lolive - Parc Stalingrad;22;48.89206174403158, 2.4091735482215886;
31012;Place Carnot;25;48.85593932186797, 2.441531717777252;
35019;Anatole France - Jean Lolive;28;48.8949922, 2.4253764;
19019;Petit - Manin;22;48.886506875343, 2.3938155401308;
42503;Vladimir Ilitch Lénine - Andrée Chedid;31;48.813240124373, 2.3319716067039;
13102;Pitié-Salpêtrière;51;48.83748810318667, 2.365213818848133;
15055;Vasco de Gama;54;48.83671783466264, 2.283664085650799;
14130;Jonquoy - Didot;30;48.82890454823947, 2.31648076325655;
7005;Raspail - Bac;52;48.855628721101, 2.3256602883339;
18032;Porte de Clignancourt.;56;48.897488, 2.343996;
22001;Château - Bineau;23;48.890404028589806, 2.270106375217438;
15031;Théâtre - Lourmel;53;48.8482070397636, 2.2898658737540245;
47005;Ecole Vétérinaire;36;48.81488859822486, 2.4224362157778994;
9101;Cadet - La Fayette;19;48.875601632672, 2.3435704037547;
4011;Hôtel de Ville - Pont-Marie;36;48.853899645527, 2.3569472506642;
8056;Beaujon - Wagram;29;48.875352455985, 2.2964416444302;
6014;Pont de Lodi - Dauphine;23;48.855296898603285, 2.339947307565249;
12153;Terroirs de France - Lheureux;55;48.83212027074841, 2.388618104159832;
23005;Gare de Clichy-Levallois;26;48.89679827481989, 2.2984680533409123;
44103;Pont De Charenton;18;48.8179685, 2.4199531;
22403;Pierre Brossolette - Adolphe Pinard;24;48.821772279548, 2.3131558299065;
17029;Pierre Demours - Laugier;37;48.8813072, 2.294846;
21118;Neuilly - Petit;16;48.898965361341254, 2.29627937078476;
20002;Square de la rue Pixérécourt;45;48.8736824, 2.3960278;
20122;Vitruve - Davout;23;48.86053161154489, 2.4091592812626543;
22501;Théâtre de La Garenne;20;48.905658361454, 2.2345951981176;
4002;Marché aux fleurs;23;48.855258115391, 2.3473754525185;
11021;Charonne - Pierre Bayle;23;48.858445054262, 2.3903981223891;
33015;Charles Tillon - Cimetière Communal;30;48.91844023641836, 2.3935630917549138;
22201;Henri Ravera - Gabriel Péri;30;48.79722273833844, 2.302115857601166;
20024;Gambetta - Père Lachaise;29;48.864295696165875, 2.398228667282044;
19201;Petit - Georges Thill;23;48.88603131999171, 2.3895753175020222;
2002;Etienne Marcel - Montorgueil;28;48.86450567259199, 2.3461959511041637;
42704;Mairie du Kremlin-Bicêtre;25;48.81191981537702, 2.3570189997553825;
27001;Square Victor Basch;20;48.914304862261, 2.2289156913757;
12203;Nicolaï - Charenton;44;48.835478791995, 2.392894725661;
17020;Jouffroy d'Abbans - Malesherbes;27;48.8850134, 2.3070717;
42030;Stéphanie Bouvard - Gambetta;30;48.814548138856, 2.4024386957288;
12123;Château de Vincennes;52;48.84423193255657, 2.439209537709179;
13028;Gouthière - Poterne des Peupliers;33;48.820507, 2.351342;
19001;Crimée - Ourcq;56;48.894104140316, 2.3729460884673;
22007;Commandant Charcot - Bretteville;36;48.87530570765423, 2.2558460757136345;
42027;Verdun - Pierre et Marie Curie;26;48.812822398263286, 2.3707106709480286;
17036;Place Tristan Bernard;28;48.8794936, 2.2915423;
35021;Cartier Bresson - Denis Papin;31;48.902616, 2.397814;
20112;Jourdain - Place des Grandes Rigoles;1;48.874031137272, 2.3895947635174;
13202;Place Farhat Hached;28;48.825487045602, 2.3816306985827;
11037;Faubourg Du Temple - Republique;38;48.867872484749, 2.3648982158072;
16103;Traktir - Foch;22;48.872755334614, 2.2915497802487;
11046;Place de la République - Voltaire;19;48.866830968942, 2.3654810339212;
40013;Hôtel de Ville de Créteil;36;48.77699496201, 2.4552552404284;
26005;Hôtel de Ville d'Asnières sur Seine;30;48.90999330025577, 2.288238108158112;
19018;Cité de la Musique;60;48.888796556487, 2.3925811931922;
12105;Bercy - Villot;33;48.841795009027, 2.3767850184816;
32019;Place du 8 mai 1945.;30;48.938882272105, 2.3566243797541;
12164;Stade Pershing;26;48.829107826857, 2.4583535268903;
34013;Blanqui - Docteur Bauer;28;48.907735489085, 2.3407192814591;
23041;Général Leclerc - Bièvre;25;48.782414428747316, 2.3166695237159733;
15203;Porte de Versailles;28;48.832324016657, 2.2875617349045;
13116;Place du Docteur Yersin;50;48.82010494991975, 2.3725583776831627;
15012;Cambronne - Mademoiselle;67;48.843277330035214, 2.30230766886348;
21022;Dôme - République;25;48.832681, 2.250257;
41602;Place Charles Digeon;32;48.84354203133597, 2.418427169322968;
41605;Général De Gaulle - Vivien;22;48.83607420090204, 2.4189166724681854;
35013;Guillaume Tell - Parc Henri Barbusse;20;48.88958925894009, 2.4198862910270695;
12008;Hector Malot - Daumesnil;54;48.84693552991762, 2.3770876228809357;
15050;Dominique Pado - Croix Nivert;22;48.83648798164934, 2.2897250577807426;
42205;Place Aristide Briand;35;48.82189236575831, 2.413003742694855;
14035;Maine - Jean Zay;50;48.837925263898, 2.3225428909063;
15120;Colonel Pierre Avia;29;48.8296843300915, 2.275342586850291;
12017;Saint-Mandé - Docteur Arnold Netter;53;48.84462585769668, 2.404946386814118;
26010;Louis Armand - Bernard Palissy;21;48.916974, 2.313384;
41304;Port - Maurice Chevalier;30;48.832474421632, 2.490257616467;
10151;Gare du Nord - Faubourg Saint-Denis;28;48.879612765504, 2.3568402975798;
34008;Garibaldi - Gabriel Péri;30;48.905741911394, 2.3316044208059;
10114;Granges aux Belles - Hôpital Saint-Louis;60;48.874794994841, 2.366669436985;
8038;François 1er - Montaigne;53;48.866887649978, 2.3066755757207;
18206;Albert Kahn - Duhesme;38;48.895623001056, 2.345815078896;
12201;Dugommier;53;48.838811048815, 2.3896577954292;
10013;Alibert - Jemmapes;60;48.871044051984, 2.3661044619878;
21404;Jean Jaurès - Gare de Clamart;20;48.81321981219, 2.2716768079163;
22304;ZAC des Louvresses;32;48.943681749651, 2.3057864216906;
15056;Place Balard;22;48.836395736424, 2.2784192115068;
2001;Greneta - Sebastopol;31;48.865242333228, 2.3516669869423;
14006;Saint-Jacques - Tombe Issoire;23;48.833206330538864, 2.3369108140468597;
21114;Gustave Eiffel - Parc des Impressionnistes;30;48.90390619651018, 2.2946908324956894;
10164;Claude Vellefaux - Sambre et Meuse;34;48.875022, 2.370478;
20103;Le Vau - Maurice Bertaux;25;48.86803439043193, 2.411030612453627;
17033;Carnot - Général Lanrezac;30;48.875443870736, 2.2938242935036;
16031;Vignes - Boulainvilliers;21;48.856399483950504, 2.275240458548069;
48009;République - Auguste Perret;30;48.78695280952244, 2.3518594354391094;
14127;Odessa - Départ;39;48.842885590081, 2.3244281485677;
31026;Demi-Lune - Aristide Briand;20;48.87626381919953, 2.4562818557024;
20039;Belleville - Couronnes;50;48.868831082877, 2.3809862136841;
5034;Censier - Santeuil;69;48.840658921385234, 2.3537524044513702;
21708;Marcel Yol - Jullien;30;48.82537611802588, 2.287235018058929;
20108;Jardin de l'Hospice Debrousse;23;48.861451061938, 2.40568600595;
21219;Amaury Duval - Gabriel Péri;36;48.81718759671675, 2.323841750621796;
42209;Place de l'Europe - Quai de Bercy;17;48.82529858840266, 2.3945679143071175;
13044;Place Jeanne d'Arc;36;48.829575, 2.369126;
22015;Île de la Jatte;23;48.894036161302104, 2.2666339203715324;
10033;Gare du Nord - Saint-Vincent de Paul;24;48.880955741648, 2.3524305148385;
16012;Flandrin - Longchamp;42;48.86877849178477, 2.274354539176829;
45002;Roger Salengro - Général de Gaulle;27;48.820029010376956, 2.4846760556101803;
14135;Jourdan - Cité Universitaire;39;48.819897343156676, 2.3397007964124366;
14132;Bézout - Général Leclerc;30;48.82884804502439, 2.3285973072052;
6031;Pierre Sarrazin - Saint-Michel;33;48.850908146398, 2.342130728066;
19130;Place Paul Delouvrier;42;48.89197621431365, 2.3851288855075836;
6026;Saint-Placide - Cherche Midi;66;48.8490535919234, 2.325317971408367;
28005;Jean Jaurès - Paul Lafargue;28;48.884933177666, 2.2484488785267;
23042;André Theuriet - Blagis;30;48.77977325745441, 2.3130525648593903;
1008;Les Halles - Saint-Eustache;32;48.86362695901683, 2.342623919248581;
23301;Les Blagis;27;48.785205, 2.302526;
23303;Gare de Robinson;30;48.7799259211605, 2.281828634440899;
20142;Mûriers - Père Lachaise;20;48.864130509668044, 2.39164982067019;
15053;Lecourbe - Convention;46;48.83923319241899, 2.2915197908878326;
10003;Hauteville - Bonne Nouvelle;17;48.87077436024, 2.3496496368327;
30003;Moscou - Edouard Vaillant;30;48.90755810177, 2.4689837335263;
14009;Tombe Issoire - René Coty;36;48.830512876709, 2.3343613743782;
17117;Pereire - Saussure;32;48.888229075478, 2.3101296275854;
15045;Porte de la Plaine;35;48.82805169605981, 2.2924277186393742;
21023;Ancienne Mairie - André Morizet;25;48.838311, 2.234077;
22701;Général Leclerc - République;30;48.915885074177, 2.2682306702811;
14005;René Coty - Place Denfert-Rochereau;36;48.833056477316, 2.3329411447048;
6004;Regard - Rennes;46;48.847385404956, 2.3268555477262;
12040;Porte de Charenton;67;48.831240105856, 2.3989107459784;
20106;Mairie du 20ème;27;48.865302324275, 2.3990669846535;
21007;Rond-Point Rhin et Danube;53;48.840452820991764, 2.2280225157737736;
21107;Bertrand Sincholle - Henri Barbusse;23;48.89925982394349, 2.3042294383049016;
22305;Jean Jaurès - Place du Dr Roux;35;48.927567032796, 2.2947337017374;
26008;Henri Barbusse - Bourguignons;34;48.91301722799713, 2.2734212270774417;
21514;Place de la Paix - Abbé Saint-Pierre;24;48.86462724459225, 2.2047570338469806;
18026;Ruisseau - Ordener;35;48.89299462568024, 2.340144887566567;
13205;Choisy - Pointe d'Ivry;24;48.822154170359, 2.3633708034878;
18041;Rochechouart - Martyrs;20;48.882193779572, 2.3405495658517;
8057;Hoche - Tilsitt;33;48.874836457837, 2.2971323132515;
13010;Place d'Italie - Vincent Auriol;40;48.831481874467, 2.3567550292319;
32012;Carrefour Pleyel;68;48.92034156960326, 2.3438543826341625;
8004;Malesherbes - Place de la Madeleine;67;48.870406028483, 2.323243509808;
3005;Sainte-Elisabeth - Turbigo;33;48.86610337431, 2.3596492409706;
3002;Saint-Gilles - Turenne;18;48.858158956779, 2.3647149920992;
5004;Saint-Jacques - Val de Grâce;19;48.8417514, 2.3413893;
23101;Grande Rue - Europe;25;48.8218104687602, 2.205879874527455;
22601;Marx Dormoy - Château Sainte-Barbe;22;48.791782341055324, 2.297856844961643;
32020;Jules Guesdes - Carnot;16;48.93828169931872, 2.3508992046117783;
48012;Stalingrad - Henri Luisette;26;48.78363092456589, 2.366935946761926;
13015;Chevaleret - Louise Weiss;35;48.832586513351, 2.37121138812;
20020;Pyrénées - Charles Renouvier;29;48.86095933229224, 2.400421852042113;
22404;Pierre Brossolette - 12 Février 1934;25;48.8176962416867, 2.3076123744249344;
20032;Square des Amandiers;26;48.86615630668046, 2.3891324177384377;
17006;Guy Môquet - Compoint;36;48.89213559044868, 2.32321947813034;
16033;Marché d'Auteuil;32;48.84842761367387, 2.265253821160005;
28002;De Gaulle - Moulin;23;48.885816808239, 2.229607694148;
20033;Etienne Dolet - Place Maurice Chevalier;47;48.86798303359366, 2.3851405311143026;
21033;Sèvres - Maréchal Juin;18;48.8324305, 2.2292812;
7007;Musée d'Orsay;65;48.859726157909, 2.3258604481816;
26011;Ménil - Argenteuil;20;48.925901818305, 2.2741496502338;
22208;Stalingrad - Barbara;20;48.809223658808, 2.3175904558822;
18018;Carpeaux - Place Jacques Froment;19;48.8906542, 2.3309428;
16006;Lauriston - Copernic;19;48.86926, 2.289918;
31202;Gabriel Péri - Jules Ferry;25;48.926182814311, 2.3912295762525;
13051;Halle Freyssinet - Parvis Alan Turing;37;48.832846814471, 2.3711421713233;
15122;Place Charles Vallin;26;48.835523812041, 2.3025986552238;
1002;Victoria - Place du Chatelet;22;48.857992591527, 2.3469167947769;
32001;Proudhon - Président Wilson;30;48.906442763495, 2.3584905266762;
18043;Clichy - Place Blanche;20;48.883601088297, 2.3332237824798;
18035;René Binet - Porte de Montmartre;37;48.89905109950848, 2.3365534096956253;
19208;Sérurier - Alphonse Aulard;1;48.880528901839, 2.398028970957;
16014;Eylau - Trocadéro;24;48.863354122371, 2.2864209115505;
16115;Raffet - Montmorency;42;48.85258670812, 2.2629252456151954;
11032;Jean-Pierre Timbaud - Vaucouleurs;47;48.867937, 2.377885;
13048;Wurtz - Tolbiac;28;48.82631195621, 2.344585955143;
13128;Quai de la Gare - Pont de Bercy;30;48.83730787972, 2.3740861260598;
18007;Goutte d'or - Barbès;20;48.885124323627, 2.3496962338686;
8201;Arsène Houssaye - Friedland;29;48.874510616163, 2.2994716674148;
17111;Lemercier - Cardinet;24;48.890097168851746, 2.317377626895905;
31005;Square Denise Buisson;45;48.8562322730982, 2.426436245441437;
12005;Crozatier - Faubourg Saint-Antoine;42;48.850440013405, 2.378901366211;
12035;Madagascar - Meuniers;47;48.83460464474706, 2.3970650508999825;
12101;Charenton - Prague;26;48.848175129981, 2.3763584494312;
21707;Square Etienne Jarousse;25;48.82485182597129, 2.2925933450460434;
13052;Leredde - Tolbiac;44;48.82887629664, 2.3744382709265;
16019;Porte de la Muette;36;48.86302317841182, 2.2687188170157406;
43201;Place du Général Leclerc;1;48.76529107158, 2.3926565092808;
18039;Jardins d'Eole;20;48.8869703, 2.3668488;
12036;Reuilly - Place Felix Eboue;42;48.84030274499962, 2.394630398715453;
10032;Claude Vellefaux - Hôpital Saint-Louis;32;48.872859139003, 2.3700717069851;
19012;Lally-Tollendal - Armand Carrel;28;48.88270066221072, 2.374717555940151;
21215;Verdier - Jean Jaurès;33;48.81614048711214, 2.3123561963438988;
1018;Alger - Rivoli;21;48.864773553495, 2.3294493936128;
17202;Mariotte - Batignolles;20;48.884571659595, 2.321469503475;
15069;Félix Faure - Convention;44;48.841249336041, 2.2883866008495;
12119;Dom-Pérignon - Gravelle;50;48.825481574435, 2.409880310297;
16017;Siam - La Pompe;16;48.861720329027264, 2.275346568555312;
24007;Jean-Baptiste Charcot - Sainte-Geneviève;21;48.90310883721567, 2.278892956674099;
13023;Bobillot - Moulin des Prés;28;48.828657346203, 2.353020646317;
8031;Jean Mermoz - Champs-Elysées;49;48.869689856852, 2.3107324540615;
25009;Place des Arts - Jean Mermoz;20;48.880391139734, 2.1832160452221;
21508;Georges Pompidou - Verdun;26;48.875481, 2.232443;
19045;Macdonald - Césaria Evora;67;48.89883, 2.37933;
11001;Richard Lenoir - Place de la Bastille;53;48.8538327, 2.3697222;
2108;Vivienne - Montmartre;54;48.871347597383, 2.3414588347077;
22019;Charles de Gaulle;18;48.885368380902, 2.2595618686871;
9025;Taitbout - Châteaudun;54;48.876383969379, 2.3353566779335;
40012;Stade de la Habette;16;48.774397033806, 2.4668785263921;
15001;Gare Montparnasse - Arrivée;43;48.843827994315, 2.3225811123848;
30001;Hôtel de Ville - Adrienne Bolland;0;48.905280057722, 2.4455443018674;
10208;Buisson Saint-Louis - Saint-Maur;1;48.872274029222, 2.3733284860819;
4010;Saint-Antoine Sévigné;26;48.8550222, 2.3612322;
12109;Mairie du 12ème;30;48.840855311763, 2.3875549435616;
31028;Raspail Barbès;28;48.8529945, 2.4247387;
41303;Gare de Nogent-le-Perreux;32;48.83842553348809, 2.493693307042122;
8009;Gare Saint-Lazare - Isly;27;48.874777677621296, 2.326515804784655;
9014;Faubourg Montmartre - La Fayette;35;48.875254549053, 2.3408536612988;
45003;11 Novembre 1918 - 8 Mai 1945;36;48.80889533774377, 2.5382421165704727;
11002;Roquette - Thiéré;23;48.85507930579506, 2.3733686318721463;
16108;Sablons - Georges Mandel;38;48.863875, 2.28189;
6006;Notre-Dame-des-Champs - Stanislas;19;48.84479928858768, 2.329337755887181;
11027;Saint-Ambroise - Parmentier;38;48.862147844548, 2.3772348091006;
8054;Bertie Albrecht - Hoche;32;48.87614039826388, 2.301303138307601;
21006;Marcelin Berthelot;27;48.8415473058801, 2.233161628246308;
15034;Lakanal - Commerce;53;48.84442462786544, 2.294059172272682;
41202;Gare Rer de Fontenay sous Bois;61;48.8436279, 2.4630465;
23006;Jules Guesde - Alsace;25;48.890566275506, 2.2950777411461;
22006;Pierret - Madrid;28;48.882976576876565, 2.260125767248034;
17037;Bayen - Pereire;22;48.881804409079656, 2.2921088710427284;
14117;Gare Montparnasse - René Mouchotte;41;48.839203843292, 2.3208839446306;
21502;Verdun - Place Henri IV;26;48.870797375639214, 2.2277003154158592;
5002;Sommerard - Saint-Jacques;34;48.850310432924, 2.3450158352986;
10015;Lucien Sampaix - Récollets;46;48.874330377560476, 2.3621229082345963;
41207;Place du Général de Gaulle;28;48.8525288, 2.4877332;
6103;Mézières - Rennes;55;48.85023459321703, 2.3303819820284843;
6018;Michelet - Assas;18;48.842741502832, 2.3350211977959;
19039;Edouard Pailleron - Simon Bolivar;24;48.87979886049996, 2.374839261174202;
17046;Mac-Mahon - Brey;25;48.877532084130166, 2.294512536052928;
9031;Provence - Chaussée d'Antin;25;48.87428447542072, 2.332976511564311;
31703;Sadi Carnot - François Mitterrand;27;48.87532687671517, 2.4241617321968083;
35003;Gabrielle Josserand - Edouard Vaillant;25;48.90271566255436, 2.3933270573616032;
11006;Ledru-Rollin - Place du Père Chaillet;37;48.856433706943704, 2.379020587761426;
9026;Jean-Baptiste Pigalle - La Bruyere;17;48.87939826447722, 2.333709173337285;
9017;Lallier - Trudaine;29;48.88109246617963, 2.3408224806189537;
7003;Square Boucicaut;60;48.851296433665276, 2.325061820447445;
1001;Quai de l'Horloge - Pont Neuf;17;48.857058739111, 2.3417982839439;
8053;Place Georges Guillaumin;29;48.874750203957, 2.301771435326;
9106;Boudreau - Auber;28;48.87219, 2.329423;
18107;Chartres - La Charbonnière;34;48.8847601, 2.3534657;
15042;Henry Farman;16;48.83372430280548, 2.2713854536414146;
19120;Carducci - Place Hannah Arendt;27;48.877436681515796, 2.3860743641853337;
15104;Hôpital Européen Georges Pompidou;78;48.837695319163, 2.2753742337227;
10042;Enghien - Faubourg Poissonnière;33;48.872420063053, 2.3483952362828;
22203;Tertres - Fontaine;28;48.787553654715644, 2.306235730648041;
25003;Henri Ste-Claire Déville - Paul Héroult;24;48.892663, 2.172411;
22402;Jean Jaurès - Salvador Allende;43;48.821475594736775, 2.3026576638221745;
1020;Cambon - Rivoli;40;48.866143390992, 2.3251800647137;
32604;Square du Théâtre du Garde-Chasse;50;48.881287375060616, 2.420119643211365;
13050;Quai Panhard et Levassor;57;48.828374828097, 2.3842737458056;
32026;Leroy des Barres - Médiathèque;26;48.928253687082, 2.3681719727966;
9005;Square d'Anvers;33;48.882633484311, 2.3448844062122;
11004;Charonne - Faubourg Saint-Antoine;34;48.852191909696, 2.3740932717919;
31203;Henri Barbusse;30;48.932092978246, 2.3982878482409;
17045;Place des Ternes.;46;48.878438631226516, 2.297727763652802;
16121;Jardin d'Acclimatation;33;48.878772242510465, 2.270772233605385;
41102;Gare de Laplace;43;48.80893199114179, 2.3349460959434514;
10152;Gare du Nord - Place de Valenciennes;0;48.879089, 2.354235;
10005;Petites Ecuries - Faubourg Poissonnière;17;48.87397217237368, 2.348388757504776;
19037;Belleville - Porte des Lilas;32;48.87660391892763, 2.404769691129476;
41204;République - Danton;20;48.85249172181667, 2.462034523487091;
16027;Mozart - Jasmin;62;48.85286124871689, 2.268483570651513;
20201;Eugène Reisz - Davout;20;48.85631874632638, 2.410396970808506;
23304;Mairie de Sceaux;33;48.778916905132, 2.2887361764861;
11043;Place Pasdeloup;21;48.862654215631, 2.3670325062844;
20017;Saint-Blaise - Mouraud;27;48.85696177597818, 2.40869477391243;
20045;Louis Ganne - Davout;30;48.86338720692607, 2.409725748002529;
2201;Vivienne - Petits Champs;30;48.867331390877, 2.3391437530518;
22103;Senard - Charles Blum;24;48.857315824799, 2.221091687679291;
20203;Evariste Galois;21;48.873341356228, 2.4133544409574;
10004;Metz - Faubourg Saint-Denis;48;48.870893, 2.353521;
16003;André Maurois - Joseph et Marie Hackin;29;48.8778983, 2.2789591;
25001;Colmar - Victor Hugo;32;48.88652251096166, 2.173960916697979;
15057;Lucien Bossoutrot - Général Martial Vallin;39;48.836956046311, 2.2741072252393;
10162;Alexandre Parodi - Quai de Valmy;24;48.879359419425, 2.3665961623192;
12038;Picpus - Louis Braille;58;48.839988788912, 2.4005256685521;
9034;Godot de Mauroy - Madeleine;22;48.869789, 2.326347;
44011;Lebrun - Colonel Fabien;27;48.78266870733145, 2.381317801773548;
9007;Condorcet - Turgot;20;48.87985155789093, 2.345232367515564;
41401;Marne - Charles de Gaulle;27;48.815071719544434, 2.4121668934822087;
40006;Université Paris Est Créteil;43;48.787714467944, 2.4461909509055;
8117;Place de la Madeleine - Royale;43;48.869228052648, 2.324421107769;
12037;Reuilly - Daumesnil;36;48.8395385, 2.3972516;
4021;Centre Georges Pompidou;26;48.861419, 2.352581;
8028;Arsène Houssaye - Champs-Elysées;52;48.873409276267, 2.2977904602885;
4103;Archives - Rivoli;25;48.857346707443, 2.3539767041802;
3001;Beaumarchais - Saint-Gilles;51;48.8580378, 2.3679352;
7021;Bosquet - Saint-Dominique;28;48.858651709526, 2.3037165802346;
32013;Saint-Denis - Université;24;48.94563430946964, 2.3638297989964485;
11025;Froment - Bréguet;43;48.8570414504784, 2.37289470306807;
42208;Place des Marseillais;35;48.826605522232, 2.4059119927899;
2022;Saint-Fiacre - Poissonière;35;48.870828911558, 2.3459213599563;
9028;Moncey - Blanche;17;48.88006587474148, 2.3310810327529907;
5032;Panthéon - Valette;51;48.847020571652, 2.3464982619671;
8010;Liège - Moscou;17;48.8795431, 2.3264628;
41302;Charles de Gaulle - Beauté;49;48.83649602312711, 2.479562651149885;
33102;Gabriel Péri - Francisco Ferrer;18;48.88633710236977, 2.407338917255402;
17204;Paul Bodin - Clichy;33;48.892594758409, 2.3171403311203;
19103;Manin - Carrières d'Amérique;20;48.884672142095, 2.3919698596001;
12204;Prague - Théophile Roussel;34;48.850330563516, 2.3758223011125;
8033;Commandant Rivière;42;48.872933, 2.309796;
12034;Pirogues de Bercy - Libourne;49;48.832308, 2.38637;
23802;Raymond Poincaré - Allée de la Marche;23;48.838634069623, 2.1724102640451;
12032;Porte Dorée;36;48.8354337, 2.4077132;
19040;Belleville - Télégraphe;41;48.8756045, 2.3995549;
11041;Square Saint-Ambroise;43;48.860934, 2.375841;
20016;Pyrénées - Maraîchers;33;48.85714001395299, 2.4043509364128113;
8026;Messine - Place Du Pérou;12;48.875448033960744, 2.315508019010038;
44017;Jules Guesde - Pont du Port à l'Anglais;30;48.79628807093802, 2.417212128639221;
2017;Caire - Dussoubs;40;48.86785342111862, 2.349364310503006;
8103;Artois - Berri;37;48.87393521240818, 2.3064258322119713;
15112;Vigée-Lebrun - Anselme Payen;24;48.838683941628375, 2.3110422492027287;
9001;Bellefond - Poissonnière;17;48.87759897050706, 2.348463758826256;
17032;Jean Oestreicher - Porte de Champerret;21;48.88655580065981, 2.288640439510346;
22409;Henri Barbusse - Stalingrad;16;48.814183748660554, 2.2872862592339516;
19026;Place de Rhin et Danube;17;48.88192765861766, 2.392586767673493;
19043;Delphine Seyrig - Général Leclerc;53;48.893923963057865, 2.39790290594101;
14124;David Weill - Parc Montsouris;22;48.821092374256104, 2.333725690841675;
9116;Victoire - Chaussée d'Antin;24;48.875065791004396, 2.3316738009452824;
24001;Arche - Léonard de Vinci;28;48.89790972494496, 2.2383723043644914;
22016;Charles de Gaulle - Sablonville;26;48.87991924860035, 2.2763770446181297;
46001;Place Paul Eluard;19;48.7672039733195, 2.4144977331161503;
43003;Hôpital Bégin;26;48.84571672113, 2.4272462725639;
15201;Place Amédée Gordini - Lefebvre;38;48.83061737745, 2.2920634208276;
17011;Fragonard - Porte de Clichy;56;48.894155633419, 2.3143893107772;
7015;Varenne;47;48.857202661803, 2.3152771219611;
5021;Jussieu - Fossés Saint-Bernard;39;48.847185510023, 2.3534858599305;
15033;Place Violet;30;48.84487893836502, 2.2905756533145905;
33001;Victor Hugo - Magasins Généraux;34;48.903281401126755, 2.368072383105755;
42707;Place Jean-Baptiste Clément;24;48.81240466867336, 2.3617091774940495;
5116;Place Valhubert;51;48.844182577315, 2.3640366643667;
13026;Place Jean Delay;35;48.823316, 2.354336;
2009;Filles Saint-Thomas - Place de la Bourse;58;48.868899890853, 2.3397543845203;
6107;Place Alphonse Deville;23;48.850188262662, 2.3275961726904;
12161;Diderot - Reuilly;44;48.847208456061, 2.3861273378134;
10163;Gare du Nord - Demarquay;30;48.881154, 2.358411;
4013;Vieille du Temple - Francs Bourgeois;29;48.858256413365815, 2.35821794718504;
18137;Poissonniers - Nord;28;48.892511213520656, 2.3522228747606277;
20202;Dupont de l'Eure - Gambetta;31;48.8679385, 2.4003649;
13113;Vistule - Choisy;33;48.82365543660611, 2.3615723848342896;
