Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques;station_opening_hours
28001;Richard Wallace - Place du 8 Mai 1945;30;48.87866794788021, 2.2420343756675725;
33018;Edouard Poisson - Victor Hugo;30;48.91118557052621, 2.379864752692811;
33003;Bordier - Félix Faure;48;48.90390751882016, 2.3830059170722966;
8055;Courcelles - Place des Ternes;31;48.878199928923124, 2.2992860188665043;
23701;Parvis Robert Schuman - Roger Salengro;24;48.812657470558754, 2.1921751275658607;
41604;Lagny - Joffre;31;48.84930687084088, 2.417949736118317;
20136;Henri Chevreau - Couronnes;27;48.87033205312931, 2.388777695596218;
16032;Eglise d'Auteuil;21;48.84749841771691, 2.26848387135299;
19038;Lassus - Delouvain;20;48.8755044846, 2.3890327325519;
21703;Square du Carrefour de l'Insurrection;23;48.820864559770676, 2.291113436222077;
10020;Chabrol - d'Hauteville;11;48.877018388033, 2.3513179644942;
21001;Transvaal - Charles de Gaulle;27;48.848280403628806, 2.2373420120857195;
18033;Belliard - Damrémont;34;48.89669238777841, 2.338023450388167;
7008;Villersexel - Saint-Germain;16;48.858297001218, 2.3237934708595;
3101;Porte Saint-Martin;34;48.86860172112996, 2.35570102930069;
19021;Mairie du 19ème;27;48.88256264247959, 2.3812624812126164;
12006;Gare de Lyon - Van Gogh;41;48.843839785643, 2.3704450240357;
17023;Porte d'Asnières;36;48.89035817610495, 2.3036286234855656;
19108;Gaston Tessier - Rosa Parks RER;37;48.8963765, 2.3743692;
9114;Faubourg Poissonnière - Dunkerque;30;48.880883445404436, 2.349934279918671;
47001;Place de la Gare;46;48.80253358011283, 2.4275037646293645;
43001;Paris - Laitières;22;48.846302741513, 2.4207553267479;
92006;Place Nelson Mandela;30;48.897874318180556, 2.2182820737361912;
6002;Saint-Benoît - Jacob;23;48.85545136013941, 2.3334722220897675;
12015;Place de la Nation - Picpus;36;48.846821681548, 2.4001130461693;
11112;Jules Vallès - Charonne;23;48.854284379935, 2.3847674578428;
18034;Leibniz - Jean Dollfus;32;48.896328348515986, 2.333390423834684;
16102;Pergolèse - Marbeau;27;48.873568706869, 2.2815125225299;
19010;Emile Reynaud - Porte de la Villette;22;48.90098953630053, 2.3887022584676743;
15132;Bargue -  Dutot;21;48.837884, 2.308876;
4017;Place de l'Hôtel de Ville;14;48.8573314, 2.351458;
4009;Village Saint-Paul;28;48.852639866625, 2.3607301712036;
42018;Amédée Huon - Fort d'Ivry;31;48.805131376899986, 2.388489693403244;
48008;Guy Môquet - Parvis Georges Marchais;30;48.79518840095975, 2.35943466424942;
2020;Danielle Casanova - Opéra;20;48.867643242297, 2.3333894088864;
23104;Quai de Sèvres - Manufacture Nationale;28;48.828688, 2.22499;
15018;Dutot - Place Alleray;56;48.836826091766, 2.3071701095578;
23202;Henri Barbusse - Gabriel Péri;27;48.801773795836, 2.2874166362216;
32605;Mairie;20;48.87914304162, 2.4163350908311;
15041;Franquet - Labrouste;37;48.83287705011431, 2.306762784719467;
10009;Mairie du 10ème;19;48.872089449907, 2.3575825989246;
20110;Gambetta - Tourelles;20;48.875337902264, 2.4059921130538;
20005;Reynaldo Hahn - Lagny;19;48.849266043601794, 2.412330328844772;
11016;Philippe-Auguste;48;48.851853488265, 2.3932945355773;
15032;Félix Faure - Lourmel;58;48.83868901709515, 2.2818081825971603;
11201;Faubourg St-Antoine - Place de la Nation;16;48.8487726, 2.393606;
12106;Gare de Lyon - Roland Barthes;68;48.84395729494058, 2.3790882155299187;
23205;Parc des Pierrettes;23;48.7973062, 2.2909969;
31301;Gare RER;30;48.896280181078, 2.4581568985227;
13203;Square de Choisy - Eastman;24;48.828543456283, 2.3583075090494;
40003;Centre Hospitalier Intercommunal de Créteil;17;48.797078298909, 2.463801423807;
5020;Institut du Monde Arabe - Saint-Germain;40;48.849063299501, 2.3558086529374;
9104;Caumartin - Provence;22;48.874422773426545, 2.3284685611724854;
5202;Arbalète - Claude Bernard;34;48.840008992, 2.347522975107;
6003;Saint-Sulpice;21;48.85165383178419, 2.3308077827095985;
6021;Beaux-Arts - Bonaparte;20;48.856451985396, 2.3348518833518;
20143;Ramponeau - Belleville;44;48.871031137596, 2.379056852114;
43009;Place Jean-Spire-Lemaître;50;48.8468428626593, 2.452062070369721;
11047;Amelot - Saint-Sébastien;30;48.861142162761, 2.3677996181077;
17030;Pereire - Rennequin;23;48.88364782887555, 2.2952447086572647;
48010;Karl Marx;16;48.784527937293184, 2.3646667979455587;
20115;Louis Lumière - Porte de Bagnolet;20;48.86431136000005, 2.4105210229754443;
22003;Beffroy;26;48.886591074488, 2.2613945603371;
11024;Mairie du 11ème;51;48.858925, 2.3789759;
20134;Lieutenant Chauré - Etienne Marey;20;48.86746195408435, 2.405970990657807;
17028;Reims - Raymond Pitet;37;48.8888, 2.296319;
42301;Gare Arcueil - Cachan;26;48.799824, 2.328171;
16111;Faustin Hélie - Desbordes-Valmore;33;48.859403, 2.276522;
6013;Jacques Callot - Mazarine;28;48.855280175332, 2.3375743255019;
26001;Gare d'Asnières sur Seine;24;48.90636459217474, 2.2835066914558415;
31702;Pierre et Marie Curie - Julien Grimau;18;48.870714014863225, 2.424097023904324;
2010;Uzès - Montmartre;29;48.870790980240706, 2.3431010171771054;
7014;Saint-François-Xavier;42;48.85154484769, 2.3146149516106;
11101;Charles Delescluze;49;48.85242200848887, 2.380632497370243;
12011;Charenton - Place du Col Bourgoin;35;48.844867319554, 2.3825789350545;
20021;Indre - Prairies;38;48.86254398506782, 2.403290458023548;
21003;Jean Jaurès - Jean Baptiste Clément;39;48.84576261454011, 2.2369650006294255;
14122;Colonel Monteil - Brune;19;48.82650293311, 2.3092747998272;
21014;Hameau Fleuri - Marché;22;48.831448892608314, 2.2412404417991643;
21310;Kléber - Gouverneur Général Eboué;24;48.826885843069796, 2.2723413258790965;
6032;Sabot - Rennes;26;48.852575112948415, 2.331552766263485;
15107;Palais des Sports;22;48.833468517426, 2.2858720645308;
14116;Romain Rolland;25;48.820215229662765, 2.3234144234418346;
8049;Georges V - François 1er;22;48.87034, 2.30082;
12154;Square Georges Melies;40;48.84070239213081, 2.409667745232582;
22017;Charles de Gaulle - Louis Philippe;28;48.881742142181, 2.2710045335353;
9015;Lamartine - Faubourg Montmartre;32;48.876613982891, 2.3397656902671;
18142;Jessaint - Marx Dormoy;30;48.88484543106364, 2.358930408954621;
42011;Quai Marcel Boyer - Victor Hugo;29;48.822556366667, 2.3920395970345;
7010;Constantine - Université;65;48.860680473738, 2.3148481955842;
12125;Pyramide - Parc Floral;50;48.837442, 2.440452;
16024;Ranelagh - Maison de la Radio;22;48.85293603169479, 2.280449643731117;
13121;Bruneseau - Quai d'Ivry;46;48.824945637583, 2.3885661363602;
23003;Président Wilson - Baudin;28;48.89826887103676, 2.2849336266517644;
6008;Assas - Luxembourg;33;48.843734468779, 2.3334283818759;
14010;Jean Moulin - Place Victor et Hélène Basch;41;48.82764910241, 2.3261967301369;
9011;Geoffroy - Marie;20;48.873781940593325, 2.344513876337893;
5001;Harpe - Saint-Germain;45;48.851518815017, 2.3436703160405;
21303;Jean Monnet - Iles;32;48.823393984057304, 2.2497073194874866;
33103;Jean Jaurès - Jules Jacquemin;24;48.88433053604843, 2.4082902455152104;
2013;Favart - Italiens;17;48.871446353921, 2.3382901058508;
17024;Villiers - Batignolles;23;48.881252538461, 2.3165384307504;
14026;Plantes - Moulin Vert;45;48.83005755305626, 2.3232302069664006;
16036;Porte Molitor;60;48.84524763511433, 2.2569015249609947;
14103;Maine - Liancourt;27;48.835064363954, 2.323731449974;
14133;Froidevaux - Boulard;35;48.835147319625, 2.3294411972165;
1014;Rivoli - Musée du Louvre;24;48.86364636851945, 2.33409583568573;
4007;Place de la Bastille - Bourdon;35;48.852364355271, 2.3681089282036;
1026;Place du Lieutenant Henri Karcher;30;48.863490871724466, 2.3400671035051346;
18015;Custine - Ramey;41;48.888735896947, 2.3469526693225;
16139;Suresnes - Muette à Neuilly;30;48.868570404348, 2.266000919044;
42019;Lampes;43;48.81152481985875, 2.4017931148409843;
23206;Béranger - Félix Faure;28;48.80404828621485, 2.2848263373723436;
13036;Olympiades;36;48.826764665199, 2.3650860786438;
15027;Duhamel - André Gide;20;48.8365662244334, 2.312707121097412;
12122;Bois de Vincennes - Polygone;51;48.83544491617421, 2.431421081436563;
21016;Point du Jour - Jean Jaurès;40;48.828753141436465, 2.245911467014621;
20037;Gambetta - Saint Fargeau;24;48.871244610447015, 2.4039056897163396;
10025;Jemmapes - Ecluses Saint-Martin;15;48.87748519186726, 2.3660067468881607;
21954;Val-Fleury;23;48.807671407991, 2.2407217696309;
23203;Division Leclerc - Kléber;25;48.798666226364, 2.2833752789972;
31303;Simone Signoret - Paris;28;48.903600624712865, 2.465406596265139;
15013;Volontaires - Lecourbe;31;48.84351378799, 2.3065522313118;
13204;Tolbiac - Boussingault;41;48.826177754027, 2.3420378552202;
3004;Place de la République - Temple;18;48.867211201859, 2.3635464370545;
11011;Richard Lenoir - Voltaire;25;48.86164273878, 2.3727491497993;
11020;Belfort - Voltaire;53;48.8563358, 2.3829901;
40007;Préfecture de Créteil;27;48.783680285918, 2.4544713672215;
40015;Iles de Loisirs de Créteil;24;48.780258200618, 2.4455094301232;
51005;Yves Farges - Route d'Enghien;35;48.95756799268, 2.2834496977978;
32004;Wilson - Landy;40;48.91516726221354, 2.357633225619793;
6001;Institut de France;17;48.857615678565, 2.3358313530377;
33019;Madeleine Vionnet;34;48.902519074064, 2.3740895837545;
11104;Charonne - Robert et Sonia Delaunay;20;48.855907555969, 2.3925706744194;
8050;Boétie - Ponthieu;45;48.871417284355, 2.3076787590981;
22207;Rond-point du Dr Albert Schweitzer;22;48.78980918988166, 2.3143940046429634;
44010;8 Mai 1945 - 10 Juillet 1940;30;48.784567029674, 2.3979035764933;
31009;Place Du Général De Gaulle;26;48.8687591, 2.4329931;
21312;Lucie Aubrac - Fort;30;48.818144834008976, 2.271184623241425;
15133;Saint Lambert - Blomet;27;48.83659148147257, 2.2930556908249855;
43005;Gare RER de Vincennes;51;48.847563015126106, 2.433383166790009;
15010;Square Cambronne;59;48.84756654526, 2.3025691509247;
92003;Chanzy - Sud-Est;25;48.888912037698766, 2.195632159709931;
21019;Edouard Vaillant - Paul-Adolphe Souriau;28;48.834845858829, 2.2479459643364;
17122;Bridaine - Lamandé;29;48.8862074, 2.3206239;
20027;Porte de Ménilmontant;15;48.8691543609174, 2.40932246879487;
7020;Champ de Mars - Cler;40;48.856691550115315, 2.306646779179573;
4109;Mornay - Sully;15;48.84970399548416, 2.364460788667202;
5030;Sorbonne - Ecoles;69;48.849686566191, 2.3434996604919;
31017;Jean Moulin - Paul Doumer;20;48.8622179854695, 2.45533436536789;
20004;Commandant l'Herminier - Gallieni;17;48.847040552603, 2.4160453677177;
12150;Bastille - Quai de la Rapée;27;48.84682410855, 2.3669364675879;
42304;Marc Sangnier - Division Leclerc;24;48.78599652305309, 2.329955510795116;
13033;Porte d'Italie;13;48.817161987718954, 2.360236309468746;
14101;Gare Montparnasse - Edgar Quinet;33;48.841487851079, 2.3233232282801;
8037;Monceau - Malesherbes;38;48.8795079, 2.3145456;
22408;Place du 14 Juillet;22;48.819266959525, 2.3011998832226;
12026;Place Ginette Hamelin;51;48.837853, 2.382064;
8116;Champs-Elysees - Bassano;25;48.871811807816, 2.300238981843;
